FID,Park_Id,Park_Name,Owner,Ward,class,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
163,PN19W2,Dykeman Street Park, ,Ward 2,Undeveloped,750.011218795,18346.3719488,2.130585427e-06,0.008042443748597
164,PS47W11,University Avenue Green, ,Ward 11, ,244.424652938,1902.89124991,2.20861632e-07,0.002555689976391
165,PS48W10,Valley Trail, ,Ward 10, ,870.287101292,4360.34199485,5.06113524e-07,0.011055897721535
166,PS13W12,Eagle / Birdie Park, ,Ward 12, ,480.001977215,4050.29093547,4.7013535e-07,0.005339481203484
167,PS48W10,Valley Trail, ,Ward 10, ,1099.80162644,10508.5024996,1.219776251e-06,0.013937110001006
168,PN20W5,Elliott Street park, ,Ward 5, ,327.524053336,4291.93624983,4.98368205e-07,0.003366181887735
169,PN21W3,Evans Street park, ,Ward 3, ,730.324290189,15701.7862501,1.823349237e-06,0.00801327696571
170,PS48W12,Valley Trail, ,Ward 12, ,1127.34072489,12391.95125,1.438407909e-06,0.013570935642279
171,PS48W12,Valley Trail, ,Ward 12, ,775.825121905,8799.51000011,1.021453464e-06,0.009243903386828
172,PS14W7,Tilley Drive Park, ,Ward 7, ,435.428890487,8114.27624995,9.4120887e-07,0.004651431320678
173,PS48W12,Valley Trail, ,Ward 12, ,1309.19822904,16052.3362499,1.863412752e-06,0.016401544423698
174,PS27W7,Limerick / Flemming Park, ,Ward 7,Booster Station,325.330963143,1980.82750002,2.29767436e-07,0.003374020893693
175,PN22W4,Forbes Street Open Space, ,Ward 4,Undeveloped,218.792015131,2743.61999998,3.18524924e-07,0.002343510442631
176,PS48W12,Valley Trail, ,Ward 12, ,15441.8662204,219562.55,2.5488914751e-05,0.195468300634284
177,PS15W7,Fredericton Yacht Club, ,Ward 7, ,662.553094162,15253.9812499,1.769697706e-06,0.006973443082753
178,PS16W10,Fredericton Raceway Fields, ,Ward 10, ,1160.50941402,72239.2637503,8.38524274e-06,0.012792025791424
179,PS1W12,Angelview Park, ,Ward 12, ,523.724713726,8688.0614138,1.008579547e-06,0.006355949625747
180,PN23W6,Gibson Trail, ,Ward 6, ,703.177789894,10181.2149998,1.181677006e-06,0.0071562282847
181,PS1W12,Angelview Park, ,Ward 12, ,459.729823101,5094.15194751,5.91362793e-07,0.005612415090639
182,PN23W4,Gibson Trail, ,Ward 4, ,620.405548797,9154.13375011,1.06251991e-06,0.007189448848446
183,PN76W4,Barkers Street Sports Field, ,Ward 4, ,608.59305031,23608.7150002,2.740278966e-06,0.006494225629515
184,PN67W1,Willis Street Park, ,Ward 1,Undeveloped,219.078532938,1018.74750006,1.18300837e-07,0.002424089160985
185,PN23W6,Gibson Trail, ,Ward 6, ,2022.82411811,38227.4024999,4.436585209e-06,0.023331019175276
186,PS49W10,Wilmot Park, ,Ward 10, ,1186.06532576,84339.5487499,9.790261591e-06,0.013573565305129
187,PN23W6,Gibson Trail, ,Ward 6, ,1675.16109839,23617.6724994,2.740912909e-06,0.016639257954523
188,PS50W8,Woodbridge Street Park, ,Ward 8,Undeveloped,467.422374564,8629.88500001,1.001225481e-06,0.005333086347506
189,PS17W8,Gloucester Crescent Park, ,Ward 8, ,571.748055764,6186.79749985,7.17821529e-07,0.006448671105082
190,PS51W8,Woodbridge Street Pool, ,Ward 8, ,146.76924876,1283.04124996,1.48861972e-07,0.001574987392718
191,PN24W3,Gourley Park, ,Ward 3,Undeveloped,501.913876304,9779.12250008,1.135444397e-06,0.005460957146941
192,PS51W12,Woodstock Road Open Space, ,Ward 12,Undeveloped,510.571894304,4562.27749996,5.29603607e-07,0.005749938136305
193,PS18W11,Gregg Court Park, ,Ward 11, ,203.130184571,1726.37499993,2.0033427e-07,0.002126062764368
194,PN68W4,York Arena, ,Ward 4,Arena,587.951469214,10135.5159755,1.176497927e-06,0.0064601345832
195,PN69W1,York County Municipal Home Cemetery, ,Ward 1,Cemetery,271.233602469,1927.60499997,2.23824332e-07,0.003205799334755
196,PN25W2,Haines Crescent Park, ,Ward 2,Undeveloped,326.034578693,2025.96250002,2.35282147e-07,0.003523473052462
197,PN69W1,York County Municipal Home Cemetery, ,Ward 1,Cemetery,140.112341524,1085.00374992,1.25985194e-07,0.001470279778541
198,PS19W12,Hanwell Road Open Space, ,Ward 12, ,167.908371798,1706.2375,1.97965406e-07,0.001910417866677
199,PN70W4,Young Street Park, ,Ward 4, ,801.288923783,19106.5337499,2.218185437e-06,0.009102976136182
200,PN26W5,Harrison Court Park, ,Ward 5, ,298.54431907,5511.71125016,6.39976848e-07,0.003249943356514
201,PN71W5,Alexander Gibson Memorial School,Province,Ward 5, ,629.69270411,18110.5974999,2.102838512e-06,0.007093346385246
202,PN27W2,Hawkins Street Park, ,Ward 2, ,358.257994515,3574.9174999,4.15138774e-07,0.003908977563958
203,PN28W4,Henry Park, ,Ward 4, ,1035.19728102,43514.7187499,5.051360305e-06,0.011419811759398
204,PN72W4,Devon Middle School Sports Field,Province,Ward 4, ,764.031964911,29896.1062503,3.470682611e-06,0.008289608322261
205,PN29W5,Heritage Center, ,Ward 5, ,396.75824007,8371.20124996,9.71962936e-07,0.004339654328329
206,PS52W8,Ecole St. Anne Sports Field,Province,Ward 8, ,430.158015981,11280.6819312,1.309005148e-06,0.004826697695995
207,PN30W4,Hillcrest Drive Park, ,Ward 4, ,217.179215334,2803.12500011,3.25442564e-07,0.002465489356074
208,PS53W9,"Fredericton High School (Fields,Tennis,Basketball)",Province,Ward 9, ,1341.97888776,75547.9652996,8.76642523e-06,0.014715233940869
209,PS54W8,Forest Hill Road School  - Foster Field,Province,Ward 8, ,309.297269225,5831.86573215,6.76645892e-07,0.003368167049635
210,PS20W12,Hummingbird Street Park, ,Ward 12, ,286.616872215,4187.4549999,4.86095119e-07,0.003454650460731
211,PS55W12,"Garden Creek School (Sports field,Rink,Tennis)",Province,Ward 12, ,742.723216745,15537.4706812,1.803642537e-06,0.008311202323979
212,PN31W6,Hyla Park, ,Ward 6, ,1371.96523523,88437.5274997,1.0263602317e-05,0.015408040269828
213,PN73W1,Mcadam Avenue School,Province,Ward 1, ,833.094457066,29736.9529875,3.453006725e-06,0.009496138799335
214,PN32W4,Irvine Street Park, ,Ward 4, ,196.393443431,1947.61874995,2.26105177e-07,0.002012779898204
215,PN32W4,Irvine Street Park, ,Ward 4,Undeveloped,812.628882519,11208.9774999,1.301249e-06,0.008340312730797
216,PN74W2,Nashwaaksis Memorial School ( Tennis Court),Province,Ward 2, ,189.604824325,2265.54035945,2.63068205e-07,0.002096018487777
217,PN75W3,Nashwaaksis Middle School,Province,Ward 3, ,2615.52273739,168466.35375,1.9563642703e-05,0.029456024228016
218,PN34W1,Kent Street Park, ,Ward 1, ,362.826446004,7507.78750007,8.71760568e-07,0.004020199859522
219,PS3W9,Beechwood Crescent Park, ,Ward 9, ,411.969569091,3651.82605411,4.23791532e-07,0.004412443998002
220,PN35W3,Killarney Lake Park, ,Ward 3, ,8649.09445781,2318270.8775,0.000269386787537,0.091150164446597
