FID,Park_Id,Park_Name,Owner,Ward,class,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
273,PN41W3,Mannington Lane Park, ,Ward 3, ,444.175732924,7238.38903001,8.40633774e-07,0.005046219620879
274,PS96W12,Mayflower Street Park,City of Fredericton,Ward 12, ,272.873339508,3937.81125011,4.57122298e-07,0.00285190881965
275,PN42W5,Marysville Cenotaph, ,Ward 5, ,381.805990353,3242.93000014,3.76548209e-07,0.003630122318642
276,PS32W11,The Green, ,Ward 11, ,854.926721302,15773.64375,1.830858734e-06,0.008648251632182
277,PS32W11,The Green, ,Ward 11, ,4115.74419409,123738.63875,1.4359640883e-05,0.039664326712533
278,PN43W4,Nashwaak Trail, ,Ward 4, ,261.587698143,2043.38249983,2.3717608e-07,0.003194000323665
279,PN43W4,Nashwaak Trail, ,Ward 4, ,1208.13121391,8150.8162493,9.46032137e-07,0.015251991651362
280,PN43W4,Nashwaak Trail, ,Ward 4, ,783.979421104,8086.04125018,9.38560127e-07,0.00927619618213
281,PN43W4,Nashwaak Trail, ,Ward 4, ,2881.15632148,30755.0937502,3.569824095e-06,0.034040300944715
282,PN43W4,Nashwaak Trail, ,Ward 4, ,176.364240412,960.789999979,1.11535434e-07,0.002162745753069
