15,16,17,18,19,CT,TotalPop,0to4,0to4percent,5to9,5to9Percent,10to14,10to14Percent,15to19,15to20Percent,20to24,20to25Percent,25to29,25to30Percent,30to34,30to35Percent,35to39,35to40Percent,40to44,40to45Percent,45to49,45to50Percent,50to54,50to55Percent,55to59,55to60Percent,60to64,60to65Percent,65to69,65to70Percent,70to74,70to75Percent,75to79,75to80Percent,80to85,80to86Percent,85andOver,85andOverPercent,FID
0,0,0,5,10,3200001,505,5,0.00990099009901,0,0,0,0,20,0.03960396039604,75,0.148514851485149,50,0.099009900990099,40,0.079207920792079,35,0.069306930693069,30,0.059405940594059,30,0.059405940594059,30,0.059405940594059,45,0.089108910891089,25,0.04950495049505,25,0.04950495049505,15,0.02970297029703,20,0.03960396039604,25,0.04950495049505,30,0.059405940594059,1
20,20,20,35,65,3200002,3270,100,0.030581039755352,90,0.027522935779817,85,0.025993883792049,155,0.047400611620795,555,0.169724770642202,420,0.128440366972477,250,0.076452599388379,155,0.047400611620795,160,0.048929663608563,160,0.048929663608563,190,0.058103975535168,220,0.067278287461774,205,0.062691131498471,140,0.042813455657492,120,0.036697247706422,100,0.030581039755352,80,0.024464831804281,85,0.025993883792049,2
25,25,15,30,45,3200003,3435,130,0.037845705967977,130,0.037845705967977,115,0.033478893740903,140,0.040756914119359,455,0.132459970887919,440,0.128093158660844,305,0.088791848617176,235,0.068413391557496,215,0.062590975254731,205,0.059679767103348,205,0.059679767103348,210,0.061135371179039,185,0.053857350800582,135,0.039301310043668,105,0.03056768558952,85,0.024745269286754,60,0.017467248908297,80,0.023289665211063,3
40,40,60,85,140,3200004,5405,230,0.042553191489362,185,0.03422756706753,175,0.032377428307123,370,0.06845513413506,945,0.174838112858464,615,0.113783533765032,300,0.055504162812211,250,0.046253469010176,250,0.046253469010176,315,0.058279370952821,340,0.062904717853839,290,0.053654024051804,265,0.049028677150786,195,0.036077705827937,200,0.037002775208141,185,0.03422756706753,155,0.028677150786309,140,0.025901942645698,4
10,0,10,20,75,3200005,1525,40,0.026229508196721,35,0.022950819672131,25,0.016393442622951,110,0.072131147540984,570,0.373770491803279,215,0.140983606557377,95,0.062295081967213,50,0.032786885245902,50,0.032786885245902,35,0.022950819672131,40,0.026229508196721,30,0.019672131147541,45,0.029508196721312,40,0.026229508196721,35,0.022950819672131,25,0.016393442622951,25,0.016393442622951,75,0.049180327868852,5
75,80,85,80,75,3200006,5950,395,0.066386554621849,360,0.060504201680672,385,0.064705882352941,390,0.065546218487395,450,0.07563025210084,460,0.077310924369748,440,0.073949579831933,465,0.078151260504202,500,0.084033613445378,450,0.07563025210084,425,0.071428571428571,380,0.063865546218487,295,0.049579831932773,200,0.033613445378151,170,0.028571428571429,85,0.014285714285714,60,0.010084033613445,40,0.00672268907563,6
40,40,45,40,55,3200007,3845,215,0.05591677503251,185,0.048114434330299,205,0.05331599479844,225,0.05851755526658,520,0.135240572171652,375,0.097529258777633,240,0.062418725617685,235,0.06111833550065,230,0.059817945383615,250,0.065019505851756,230,0.059817945383615,190,0.049414824447334,230,0.059817945383615,155,0.040312093628088,145,0.037711313394018,130,0.033810143042913,45,0.011703511053316,45,0.011703511053316,7
60,65,60,60,60,3200008,6590,270,0.040971168437026,315,0.047799696509863,300,0.045523520485584,310,0.047040971168437,335,0.050834597875569,400,0.060698027314112,415,0.062974203338392,375,0.05690440060698,375,0.05690440060698,505,0.076631259484067,490,0.074355083459788,525,0.079666160849772,525,0.079666160849772,420,0.063732928679818,280,0.042488619119879,235,0.035660091047041,195,0.02959028831563,310,0.047040971168437,8
45,50,50,50,40,3200009,3900,195,0.05,185,0.047435897435897,210,0.053846153846154,235,0.06025641025641,155,0.03974358974359,200,0.051282051282051,255,0.065384615384615,285,0.073076923076923,245,0.062820512820513,290,0.074358974358974,280,0.071794871794872,255,0.065384615384615,260,0.066666666666667,240,0.061538461538462,160,0.041025641025641,165,0.042307692307692,115,0.02948717948718,170,0.043589743589744,9
20,25,15,20,25,3200010,1740,100,0.057471264367816,100,0.057471264367816,85,0.048850574712644,100,0.057471264367816,145,0.083333333333333,120,0.068965517241379,150,0.086206896551724,100,0.057471264367816,120,0.068965517241379,140,0.080459770114942,125,0.07183908045977,115,0.066091954022988,90,0.051724137931035,60,0.03448275862069,70,0.040229885057471,50,0.028735632183908,35,0.020114942528736,25,0.014367816091954,10
40,50,65,55,45,3200011,4265,270,0.063305978898007,230,0.053927315357561,260,0.060961313012896,250,0.058616647127784,290,0.06799531066823,350,0.082063305978898,320,0.075029308323564,330,0.077373974208675,275,0.064478311840563,325,0.07620164126612,320,0.075029308323564,300,0.070339976553341,245,0.057444314185229,160,0.037514654161782,125,0.029308323563892,90,0.021101992966002,70,0.01641266119578,65,0.015240328253224,11
50,70,70,70,55,3200012,3970,155,0.03904282115869,225,0.056675062972292,280,0.070528967254408,330,0.083123425692695,245,0.061712846347607,155,0.03904282115869,185,0.046599496221662,235,0.05919395465995,295,0.074307304785894,325,0.081863979848866,330,0.083123425692695,320,0.080604534005038,260,0.065491183879093,235,0.05919395465995,165,0.041561712846348,105,0.026448362720403,75,0.018891687657431,50,0.012594458438287,12
55,65,50,50,55,3200013,6065,390,0.064303380049464,345,0.056883759274526,330,0.054410552349547,275,0.045342126957956,300,0.049464138499588,460,0.075845012366035,485,0.079967023907667,465,0.076669414674361,380,0.062654575432811,400,0.065952184666117,385,0.063478977741138,375,0.061830173124485,390,0.064303380049464,245,0.040395713107997,255,0.04204451772465,205,0.033800494641385,200,0.032976092333059,185,0.030502885408079,13
